"close","g_marketing","g_year","g_city","g_salesperson","callcategory","n_service_calls","prior_revenue","call_to_estimate"
0,"internet","2016","suisun","Peter","HVAC",-0.703382450541614,1,-0.0713422243984658
0,"vehicle","2015","fairfield","Larry","DHW",0.67489798814215,0,1.26632448307277
1,"tv","2017","vacaville","Mary","SOLAR",0.67489798814215,0,2.60399119054401
0,"tv","2017","fairfield","Steven","DHW",-1.3925226698835,0,-1.4090089318697
0,"vehicle","2017","davis","Peter","HVAC",-0.0142422311997322,0,-0.0713422243984658
0,"internet","2019","fairfield","John","SOLAR",-0.703382450541614,1,-1.4090089318697
0,"tv","2016","fairfield","Steven","DHW",-0.703382450541614,1,0.597491129337152
1,"radio","2018","vacaville","Peter","HVAC",1.36403820748403,0,1.26632448307277
0,"radio","2018","woodland","Peter","HVAC",0.67489798814215,0,-0.740175578134084
1,"vehicle","2017","suisun","Steven","HVAC",-1.3925226698835,0,-1.4090089318697
1,"radio","2018","vacaville","Larry","DHW",1.36403820748403,1,-0.0713422243984658
1,"radio","2017","woodland","Larry","HVAC",-0.0142422311997322,0,1.26632448307277
0,"tv","2015","vacaville","Steven","SOLAR",0.67489798814215,0,0.597491129337152
0,"newspaper","2015","fairfield","John","HVAC",-0.703382450541614,1,-0.740175578134084
0,"tv","2017","fairfield","Peter","DHW",-0.703382450541614,0,1.93515783680839
0,"radio","2017","fairfield","Larry","HVAC",-1.3925226698835,0,-0.0713422243984658
0,"newspaper","2017","woodland","Peter","DHW",-0.0142422311997322,0,0.597491129337152
0,"newspaper","2015","vacaville","Steven","SOLAR",-1.3925226698835,0,-0.0713422243984658
0,"radio","2016","fairfield","John","SOLAR",-0.0142422311997322,0,-0.0713422243984658
1,"newspaper","2015","suisun","Larry","HVAC",0.67489798814215,0,1.26632448307277
0,"radio","2015","fairfield","Peter","HVAC",-0.703382450541614,0,1.26632448307277
1,"tv","2019","suisun","Steven","HVAC",-1.3925226698835,0,1.26632448307277
1,"radio","2018","fairfield","Mary","SOLAR",1.36403820748403,0,1.26632448307277
0,"tv","2019","woodland","Peter","HVAC",-1.3925226698835,0,-0.740175578134084
1,"internet","2016","vacaville","Mary","SOLAR",1.36403820748403,0,0.597491129337152
